Word,Frequency,Line Number,Line Content,Religious,Emotion-Related
absolucioun,1,1883,And of absolucioun he on þe segge calles;,1,0
anger,1,2346,"I couþe wroþeloker haf waret, to þe haf wro?t anger.",0,1
auter,1,594,Offred and honoured at þe he?e auter.,1,0
blessyng,1,370,"And gef hym Goddez blessyng, and gladly hym biddes",1,1
blis,1,1765,"?at al watz blis and bonchef þat breke hem bitwene,",0,1
blys,4,828,For to bryng þis buurne wyth blys into halle;,0,1
blys,4,1175,?e lorde for blys abloy,1,1
blys,4,1369,Wyth blys and bry?t fyr bette.,0,1
blys,4,1889,with blys.,0,1
blysful,1,521,To bide a blysful blusch of þe bry?t sunne.,0,1
blysse,4,18,And oft boþe blysse and blunder,0,1
blysse,4,1520,And bro?t blysse into boure with bountees hor awen--,0,1
blysse,4,1554,bot blysse.,0,1
blysse,4,2532,He bryng vus to his blysse! AMEN.,1,1
blyþe,8,155,"With blyþe blaunner ful bry?t, and his hod boþe,",0,1
blyþe,8,162,"Boþe þe barres of his belt and oþer blyþe stones,",0,1
blyþe,8,925,When burnez blyþe of his burþe schal sitte,0,1
blyþe,8,1214,"'Goud moroun, gay,' quoþ Gawayn þe blyþe,",0,1
blyþe,8,1218,And þus he bourded a?ayn with mony a blyþe la?ter.,0,1
blyþe,8,1274,"Of bewté and debonerté and blyþe semblaunt,",0,1
blyþe,8,1399,"?ay la?ed, and made hem blyþe",0,1
blyþe,8,2323,Watz he neuer in þis worlde wy?e half so blyþe--,0,1
blyþely,3,1312,"Bo?ez forth, quen he watz boun, blyþely to masse;",1,1
blyþely,3,1835,"And þat ho bede to þe burne, and blyþely biso?t,",0,1
blyþely,3,1991,And blyþely bro?t to his bedde to be at his rest.,0,1
chapel,19,63,"?e chauntré of þe chapel cheued to an ende,",1,0
chapel,19,451,"To þe grene chapel þou chose, I charge þe, to fotte",1,0
chapel,19,454,?e kny?t of þe grene chapel men knowen me mony;,1,0
chapel,19,707,"In any grounde þeraboute, of þe grene chapel;",1,0
chapel,19,714,?at chapel er he my?t sene.,1,0
chapel,19,1061,"Of þe grene chapel, quere hit on grounde stondez,",1,0
chapel,19,1675,"?ou schal cheue to þe grene chapel þy charres to make,",1,0
chapel,19,1754,"At þe grene chapel, when he þe gome metes,",1,0
chapel,19,1858,"When he acheued to þe chapel his chek for to fech,",1,0
chapel,19,1877,"Syþen cheuely to þe chapel choses he þe waye,",1,0
chapel,19,1968,"?e gate to þe grene chapel, as God wyl me suffer",1,0
chapel,19,2105,"He cheuez þat chaunce at þe chapel grene,",1,0
chapel,19,2109,"For be hit chorle oþer chaplayn þat bi þe chapel rydes,",1,0
chapel,19,2134,"Bot I wyl to þe chapel, for chaunce þat may falle,",1,0
chapel,19,2149,"And þou schal se in þat slade þe self chapel,",1,0
chapel,19,2171,And ofte chaunged his cher þe chapel to seche:,1,0
chapel,19,2197,"?is is a chapel of meschaunce, þat chekke hit bytyde!",1,0
chapel,19,2401,Of þe chaunce of þe grene chapel at cheualrous kny?tez.,1,0
chapel,19,2498,"?e chaunce of þe chapel, þe chere of þe kny?t,",1,0
chapeles,1,933,"Chaplaynez to þe chapeles chosen þe gate,",1,0
chapelle,1,2188,'Wheþer þis be þe grene chapelle?,1,0
chaplayn,1,2109,"For be hit chorle oþer chaplayn þat bi þe chapel rydes,",1,0
chaplaynez,1,933,"Chaplaynez to þe chapeles chosen þe gate,",1,0
cristmasse,1,471,"Wel bycommes such craft vpon Cristmasse,",1,0
drede,5,315,For al dares for drede withoute dynt schewed!',0,1
drede,5,1152,"Der drof in þe dale, doted for drede,",0,1
drede,5,2213,Drede dotz me no lote.',0,1
drede,5,2260,For drede he wolde not dare.,0,1
drede,5,2357,?enne þar mon drede no waþe.,0,1
fayth,12,678,"To fynde hys fere vpon folde, in fayth, is not eþe.",0,1
glad,5,496,"Gawan watz glad to begynne þose gomnez in halle,",0,1
glad,5,1082,"?enne watz Gawan ful glad, and gomenly he la?ed:",0,1
glad,5,1246,"Bi God, I were glad, and yow god þo?t,",0,1
glad,5,1927,"Sir Gawayn þe gode, þat glad watz withalle,",0,1
glad,5,1956,Gawayn and þe godemon so glad were þay boþe--,1,1
god,40,563,"?e kny?t mad ay god chere,",0,1
god,40,923,"God hatz geuen vus his grace godly for soþe,",1,0
god,40,1067,"Gladloker, bi Goddez sun, þen any god welde!",0,1
god,40,1246,"Bi God, I were glad, and yow god þo?t,",0,1
god,40,1246,"Bi God, I were glad, and yow god þo?t,",0,1
god,40,1393,"'Hit is god,' quoþ þe godmon, 'grant mercy þerfore.",1,0
god,40,1838,"Nauþer golde ne garysoun, er God hym grace sende",1,0
god,40,1968,"?e gate to þe grene chapel, as God wyl me suffer",1,0
god,40,2125,"As help me God and þe halydam, and oþez innoghe,",1,0
goddez,6,370,"And gef hym Goddez blessyng, and gladly hym biddes",1,1
goddez,6,1067,"Gladloker, bi Goddez sun, þen any god welde!",0,1
gode,20,1927,"Sir Gawayn þe gode, þat glad watz withalle,",0,1
godemon,1,1956,Gawayn and þe godemon so glad were þay boþe--,1,1
godly,4,923,"God hatz geuen vus his grace godly for soþe,",1,0
godmon,5,1393,"'Hit is god,' quoþ þe godmon, 'grant mercy þerfore.",1,0
grace,6,923,"God hatz geuen vus his grace godly for soþe,",1,0
grace,6,1216,"For I ?elde me ?ederly, and ?e?e after grace,",1,0
grace,6,1259,þur?e grace.',1,0
grace,6,1508,Of druryes greme and grace.,1,0
grace,6,1838,"Nauþer golde ne garysoun, er God hym grace sende",1,0
grace,6,2482,"On Gryngolet, þat þe grace hade geten of his lyue;",1,0
greme,4,1508,Of druryes greme and grace.,1,0
halydam,1,2125,"As help me God and þe halydam, and oþez innoghe,",1,0
heuen,8,352,"?at vnder heuen I hope non ha?erer of wylle,",0,1
hope,4,140,"Half etayn in erde I hope þat he were,",0,1
hope,4,352,"?at vnder heuen I hope non ha?erer of wylle,",0,1
