Word,Meaning,Category,Frequency
Blys/Blysse,bliss/joy,Joy/Happiness,17
Blyþe/Blythe,blithe/happy/cheerful,Joy/Happiness,15
Laȝ/Laȝed/Laȝande,laugh/laughing,Joy/Happiness,14
Luf/Loue,love,Love/Desire,14
Hende,gentle/courteous,Courage/Honor,12
Mery/Myry/Mirþe,merry/mirth,Joy/Happiness,12
Glad/Glade,glad/happy,Joy/Happiness,11
Joye,joy,Joy/Happiness,10
Drede,dread/fear,Fear/Anxiety,10
Wonder,wonder,Wonder/Surprise,10
Care,worry/anxiety,Fear/Anxiety,9
Wroth/Wraþ,wroth/angry,Anger,9
Schame/Shame,shame,Shame,9
Honour,honor,Courage/Honor,9
Solace,comfort/pleasure,Joy/Happiness,8
Gomen/Game,game/pleasure,Joy/Happiness,8
Ferde,feared/frightened,Fear/Anxiety,8
Sorȝe/Sorwe,sorrow/grief,Sorrow,8
Cortaysye/Cortayse,courtesy,Courage/Honor,8
Doute,doubt/fear,Fear/Anxiety,7
Greme,anger/rage,Anger,7
Bolde,bold,Courage/Honor,7
Ferly,marvel/wonder,Wonder/Surprise,7
Comfort,comfort,Joy/Happiness,7
Gle,glee/entertainment,Joy/Happiness,6
Wynne,joy/pleasure,Joy/Happiness,6
Tene,anger/vexation,Anger,6
Sturne,stern/angry,Anger,6
Wo/Woe,woe,Sorrow,6
Hardy,brave/bold,Courage/Honor,6
Drury/Drurye,love/affection,Love/Desire,5
Arȝed,afraid/fearful,Fear/Anxiety,5
Meruayle,marvel,Wonder/Surprise,5
Pryde/Pride,pride,Pride,5
Vnhap,misfortune/regret,Shame,4
Grone,groan,Sorrow,3
Mourning,mourning,Sorrow,3
Stouned,astonished,Wonder/Surprise,3
Surquidré,pride/arrogance,Pride,2
