Word,Meaning,Category,Frequency
God/Goddez,God/God's,Divine Entity,42
Kryst/Cryst/Crist,Christ,Divine Entity,24
Lorde,Lord (often referring to God),Divine Entity,20
Sayn/Saynt,Saint,Holy Person,15
Mary,Virgin Mary,Holy Person,12
Dryȝtyn,Lord/God,Divine Entity,11
Haly/Holy,Holy,Sacred Attribute,10
Chapel/Chapelle,Chapel,Sacred Place,9
Praye/Prayere,Pray/Prayer,Religious Action,9
Masse,Mass,Religious Ritual,8
Blessyng/Blessed,Blessing/Blessed,Sacred Attribute,7
Grace,Grace,Sacred Attribute,7
Heuen,Heaven,Sacred Place,7
Auter,Altar,Sacred Object,6
Crede,Creed,Religious Text,5
Halydam,Holy relics,Sacred Object,5
Saue/Saued,Save/Saved,Religious Action,5
Halyday/Holy Day,Holy day,Sacred Time,5
Ȝolde/Ȝelde,Yield/Reward (divine context),Religious Action,5
Synne/Syn,Sin,Transgression,5
Soule/Sawle,Soul,Sacred Concept,4
Pater,Pater Noster (Lord's Prayer),Religious Text,4
Aue,Ave Maria (Hail Mary),Religious Text,4
Kyrk,Church,Sacred Place,4
Goddez halue,God's behalf,Divine Reference,4
Clerical,Clergy-related,Religious Group,4
Monk,Monk,Holy Person,3
Matynez,Matins (morning prayers),Religious Ritual,3
Euensong,Evensong (evening prayers),Religious Ritual,3
Chauntre,Chantry (chapel),Sacred Place,3
Clerk,Cleric,Holy Person,3
Seruyse,Service (religious),Religious Ritual,3
Fayth,Faith,Sacred Concept,3
Schryuen/Schrof,Shriven/Confession,Religious Action,3
Clene,Clean (pure in religious sense),Sacred Attribute,3
Penaunce,Penance,Religious Action,3
Mensk,Honor (in religious context),Sacred Attribute,3
Dome,Doom/Judgment,Divine Judgment,3
Absolucioun,Absolution,Religious Action,2
Chapel grene,Green Chapel,Sacred Place,2
Domezday,Doomsday,Divine Judgment,2
Oritore,Oratory (prayer place),Sacred Place,2
Deuocioun,Devotion,Religious Action,2
Sauer,Savior,Divine Entity,2
Saȝe,Blessing,Sacred Attribute,2
Fende/Dele,Fiend/Devil,Negative Divine,2
Trawþe,Truth (covenant),Sacred Concept,2
