Word,Gloss,Frequency
blyþe,"Happy, joyful",12
joye,"Joy, happiness",10
glad,"Glad, pleased",8
care,"Sorrow, distress",7
drede,"Fear, dread",6
laȝe,"Laugh (implies joy/amusement)",6
wroth,"Angry, wrathful",5
schame,Shame,5
myrþe,"Mirth, merriment",5
luf,Love,4
grame,"Grief, anger",4
blasing,"Blushing (implies shame/embarrassment)",3
mery,"Merry, joyful",3
sorow,Sorrow,3
mournyng,"Mourning, grief",3
blyþely,"Happily (adv.)",2
wille,"Desire, will (emotional intent)",2
greme,"Grief, anger",2
ferde,Fear,2
pité,Pity,2
grone,"Groan (implies grief/pain)",2
wepe,"Weep (implies sorrow)",2
sykyng,"Sighing (implies sorrow)",2
anger,Anger,1
demay,Dismay,1
doute,"Doubt, fear",1
gryndel,"Fierce, angry",1
gref,Grief,1
gruchyng,"Grudging, reluctance",1
ioylez,"Joyless, sad",1
lewté,"Loyalty (implies emotional fidelity)",1
rad,Afraid,1
rekenly,"Eagerly (implies enthusiasm)",1
reuth,"Pity, sorrow",1
sory,"Sorry, sorrowful",1
stonied,"Stunned (implies shock)",1
tened,"Grieved, distressed",1
vnleuté,"Disloyalty (implies shame)",1
wlonk,"Proud, splendid (implies pride)",1
