Word,Count
þe,1210
and,926
þat,634
to,460
of,410
he,387
in,319
his,305
i,289
a,271
hym,260
for,226
on,221
hit,216
as,188
watz,180
with,178
ful,150
at,134
þay,132
þis,129
wyth,126
bi,115
bot,115
so,115
is,114
me,108
ȝe,104
þer,100
oþer,95
yow,92
were,90
vpon,86
al,82
alle,79
no,77
þou,73
my,70
knyȝt,67
quoþ,67
þenne,66
mon,64
be,63
schal,60
now,60
here,60
haf,56
mony,55
hade,54
hir,53
gawayn,52
ne,51
lorde,51
your,51
wel,49
not,48
grene,47
þen,46
neuer,44
hem,44
myȝt,43
ho,41
god,40
sir,40
her,38
wyȝe,37
more,37
syþen,34
may,34
boþe,34
sayde,33
aboute,33
wolde,32
hatz,32
hyȝe,31
schulde,31
by,31
when,30
burne,30
if,30
fro,30
ar,29
vp,28
fyrst,27
þy,27
þurȝ,27
much,27
best,26
out,26
bryȝt,26
þere,26
vche,26
hede,25
after,25
fayre,24
day,24
gawan,24
leue,24
kyng,23
golde,23
freke,23
an,23
such,23
any,23
con,23
tyme,22
segge,22
vnder,22
quen,22
telle,22
ouer,22
com,22
honde,22
þaȝ,22
let,21
euer,21
er,21
gome,21
dere,21
had,21
ofte,20
am,20
til,20
gode,20
lady,20
haue,19
ryche,19
we,19
chapel,19
hor,19
wylle,19
men,19
non,18
haþel,18
þoȝt,18
hert,17
ȝet,17
wyl,17
iwysse,17
luf,16
soþe,16
lyȝt,16
stif,16
bifore,16
ryȝt,16
gay,15
ay,15
sum,15
better,15
syde,15
mete,15
clene,15
ȝif,15
halle,15
hys,14
ben,14
quat,14
doun,14
leude,14
þus,14
one,14
wylde,14
worlde,14
forth,14
sone,14
hende,14
bare,14
how,13
herde,13
prys,13
gret,13
longe,13
lykez,13
noȝt,13
wele,13
lede,13
hed,12
ȝelde,12
þerfore,12
felle,12
semed,12
bede,12
burde,12
fyue,12
sette,12
fayth,12
erþe,12
kest,12
nwe,12
heȝe,12
serued,12
into,12
wynne,12
what,12
knyȝtez,11
bolde,11
þi,11
hom,11
face,11
hous,11
noble,11
colde,11
kryst,11
brode,11
fele,11
goud,11
loke,11
made,11
bedde,11
ilk,11
broȝt,11
ende,11
last,11
londe,11
luflych,11
table,11
aȝayn,11
hymself,10
trawþe,10
grete,10
place,10
lyf,10
trwe,10
burnez,10
þo,10
wot,10
folde,10
scharp,10
ande,10
helme,10
wyse,10
court,10
wonder,10
gomen,9
myn,9
laȝt,9
awen,9
hider,9
yowre,9
haldez,9
ax,9
hent,9
wende,9
armes,9
euen,9
fre,9
whyle,9
þerto,9
halde,9
hole,9
speche,9
oft,9
two,9
wordez,9
ȝere,9
quyle,9
se,9
innoghe,9
glent,9
gif,9
home,9
wod,9
vus,9
same,9
þyn,9
togeder,9
way,9
þise,9
make,9
oure,9
stod,9
forþy,8
ferde,8
mot,8
fest,8
set,8
blod,8
sere,8
prynce,8
riche,8
sunne,8
halden,8
half,8
grounde,8
say,8
lace,8
lyȝtly,8
halue,8
dele,8
fare,8
fynde,8
red,8
most,8
tan,8
houndez,8
chaunce,8
als,8
do,8
hors,8
bere,8
lest,8
couþe,8
heuen,8
nw,8
among,8
take,8
clere,8
welde,8
tale,8
went,8
chambre,8
schelde,8
summe,8
nay,8
semly,8
knot,8
bonk,7
fast,7
hymseluen,7
adoun,7
nolde,7
nyȝt,7
sesed,7
wyt,7
breme,7
lyue,7
where,7
renk,7
siker,7
gryngolet,7
steuen,7
vch,7
wynter,7
swyþe,7
armez,7
comly,7
fonde,7
noyse,7
him,7
swete,7
byfore,7
nome,7
lasse,7
pure,7
bysyde,7
littel,7
sadel,7
schyre,7
grayþely,7
honour,7
water,7
holde,7
þro,7
ladyez,7
bryng,7
radly,7
morne,7
loude,7
laȝed,7
myry,7
withinne,7
bed,7
suche,7
han,7
alofte,7
knowe,7
þerinne,7
sale,7
gef,7
token,7
borne,7
swyn,7
naked,7
abof,7
ayþer,7
bent,7
schewed,7
blyþe,7
frekez,6
blonk,6
teche,6
fole,6
lyked,6
lufly,6
blame,6
þenn,6
won,6
ilke,6
ernde,6
dryȝe,6
fere,6
sturne,6
hyȝt,6
wonnen,6
ryse,6
falle,6
goddez,6
þerof,6
seruaunt,6
renoun,6
flet,6
dryuen,6
lyttel,6
lach,6
kepe,6
wyf,6
bounden,6
henged,6
þik,6
heterly,6
morn,6
þerafter,6
innoȝe,6
brest,6
fote,6
wlonk,6
lotez,6
cortays,6
schalk,6
siþen,6
derely,6
masse,6
mary,6
grace,6
sitte,6
kynde,6
maden,6
wonez,6
tyde,6
rounde,6
bitwene,6
grayþed,6
folk,6
gate,6
dece,6
launde,6
wythinne,6
costes,6
ayquere,6
kysses,6
eft,6
cler,6
wroȝt,6
worþy,6
ladies,6
seȝ,6
askez,6
thenne,6
care,6
mote,6
chere,6
meyny,6
semez,5
drede,5
comlyly,5
ioye,5
pured,5
dynt,5
dryȝtyn,5
boȝed,5
laȝande,5
greue,5
mynne,5
rych,5
nauþer,5
keuer,5
lyfte,5
bende,5
sayd,5
poyntez,5
bonkkez,5
loked,5
daynté,5
glad,5
samen,5
hundreth,5
sete,5
calde,5
bene,5
note,5
harde,5
þonk,5
boȝez,5
hoge,5
go,5
syn,5
cote,5
mo,5
braydez,5
ledez,5
erde,5
forþi,5
trowe,5
selly,5
þre,5
stille,5
frayned,5
chaunge,5
tene,5
dor,5
ese,5
wroth,5
stylle,5
comlych,5
olde,5
quyl,5
sene,5
grant,5
þonkkez,5
seten,5
slepe,5
boun,5
diȝt,5
frayst,5
ferly,5
mery,5
þeroute,5
leuez,5
soȝt,5
wer,5
art,5
ladyes,5
godmon,5
welcum,5
gered,5
gayn,5
dede,5
called,5
spere,5
wale,5
aþel,5
huge,5
sayn,5
lif,5
strok,5
solace,5
ȝer,5
lyst,5
pray,5
sesoun,5
proude,5
fonge,5
stel,5
countenaunce,5
weppen,5
bronde,5
ryde,5
merþe,5
burȝ,5
halched,5
lote,5
nek,5
bur,5
fallez,5
lawe,5
ȝede,5
scho,5
mayn,5
lemed,5
geten,4
syȝt,4
lay,4
was,4
bydez,4
dyn,4
layne,4
kyngez,4
folden,4
luflyly,4
chefly,4
reuel,4
karp,4
stonez,4
croun,4
gentyle,4
busk,4
wyȝ,4
rode,4
bor,4
brydel,4
krystmasse,4
fayn,4
roȝe,4
stoken,4
lenge,4
worch,4
are,4
bilyue,4
hunt,4
hasped,4
craue,4
helez,4
chosen,4
godly,4
wedez,4
gedered,4
bode,4
depe,4
drof,4
spede,4
tulk,4
help,4
seche,4
wone,4
ston,4
bytwene,4
quyte,4
laste,4
lyft,4
fox,4
wayned,4
carp,4
cortaysye,4
war,4
stonde,4
forȝelde,4
kysse,4
cort,4
wede,4
haþelez,4
waye,4
drynk,4
stoutly,4
fallen,4
lepez,4
blys,4
wyst,4
comen,4
baret,4
lere,4
withoute,4
ellez,4
seggez,4
worde,4
wordes,4
greme,4
blysse,4
warp,4
syþez,4
berde,4
rede,4
settez,4
loȝe,4
heȝly,4
lenþe,4
þeder,4
lordez,4
withouten,4
nawþer,4
hode,4
raȝt,4
praysed,4
snawe,4
start,4
trawe,4
blaunner,4
beten,4
molde,4
fyne,4
mynde,4
ros,4
body,4
ȝep,4
schulderes,4
or,4
then,4
broun,4
daye,4
wonde,4
grece,4
hornez,4
comfort,4
wakned,4
soth,4
hendely,4
softe,4
lelly,4
hiȝe,4
chose,4
calle,4
efte,4
pryde,4
sadly,4
yȝen,4
semblaunt,4
strydez,4
hope,4
ȝederly,4
þynkkez,4
þyse,4
þare,4
ȝonge,4
belt,4
þerat,4
dressed,4
play,4
launce,4
rayled,4
wawen,4
worth,4
erly,4
wyn,4
derf,4
meruayle,4
comlokest,4
haden,4
ber,4
meue,4
seluen,4
flesche,4
hurt,4
trwly,4
saue,4
lent,4
ones,4
schewe,4
onez,4
verayly,4
dronken,4
sake,4
vchone,4
closed,4
worchip,3
softly,3
lerned,3
herber,3
lowe,3
twelmonyth,3
forwarde,3
yourez,3
comez,3
innogh,3
myrþe,3
giserne,3
inne,3
acorded,3
joye,3
hyȝ,3
lef,3
hyȝly,3
quelle,3
sorȝe,3
gomnez,3
ȝerne,3
prowes,3
self,3
sayned,3
arþurez,3
honoured,3
spekez,3
fayr,3
wene,3
gest,3
ryngez,3
schunt,3
done,3
haled,3
gere,3
melez,3
lofte,3
cace,3
borelych,3
sele,3
wyles,3
tyȝt,3
lyre,3
