Word,Frequency,Line Number,Line Content
a,271,28,"Þat a selly in siȝt summe men hit holden,"
,,59,So hardy a here on hille.
,,76,"Smal sendal bisides, a selure hir ouer"
,,83,A semloker þat euer he syȝe
,,92,Vpon such a dere day er hym deuised were
,,110,"And Agrauayn a la dure mayn on þat oþer syde sittes,"
,,134,"For vneþe watz þe noyce not a whyle sesed,"
,,152,"A strayte cote ful streȝt, þat stek on his sides,"
,,153,"A meré mantile abof, mensked withinne"
,,175,"A grene hors gret and þikke,"
,,176,"A stede ful stif to strayne,"
,,182,"A much berd as a busk ouer his brest henges,"
,,186,Of a kyngez capados þat closes his swyre;
,,190,"Ay a herle of þe here, an oþer of golde;"
,,191,"Þe tayl and his toppyng twynnen of a sute,"
,,192,"And bounden boþe wyth a bande of a bryȝt grene,"
,,194,"Syþen þrawen wyth a þwong a þwarle knot alofte,"
,,196,"Such a fole vpon folde, ne freke þat hym rydes,"
,,206,"Bot in his on honde he hade a holyn bobbe,"
,,208,"And an ax in his oþer, a hoge and vnmete,"
,,209,"A spetos sparþe to expoun in spelle, quoso myȝt."
,,212,"Þe bit burnyst bryȝt, with a brod egge"
,,214,"Þe stele of a stif staf þe sturne hit bi grypte,"
,,217,"A lace lapped aboute, þat louked at þe hede,"
,,234,"Þat a haþel and a horse myȝt such a hwe lach,"
,,243,In a swoghe sylence þurȝ þe sale riche;
,,268,"I haue a hauberghe at home and a helme boþe,"
,,269,"A schelde and a scharp spere, schinande bryȝt,"
,,281,"If I were hasped in armes on a heȝe stede,"
,,283,"Forþy I craue in þis court a Crystemas gomen,"
,,287,"Þat dar stifly strike a strok for an oþer,"
,,294,"And I schal stonde hym a strok, stif on þis flet,"
,,298,A twelmonyth and a day;
,,314,"Ouerwalt wyth a worde of on wyȝes speche,"
,,335,"And wyth a countenaunce dryȝe he droȝ doun his cote,"
,,418,"A littel lut with þe hede, þe lere he discouerez,"
,,452,Such a dunt as þou hatz dalt--disserued þou habbez
,,457,"With a runisch rout þe raynez he tornez,"
,,466,A meruayl among þo menne.
,,475,"For I haf sen a selly, I may not forsake.'"
,,481,"Þenne þay boȝed to a borde þise burnes togeder,"
,,499,"A ȝere ȝernes ful ȝerne, and ȝeldez neuer lyke,"
,,521,To bide a blysful blusch of þe bryȝt sunne.
,,538,"And he made a fare on þat fest for þe frekez sake,"
,,561,"To dryȝe a delful dynt, and dele no more"
,,569,"Fyrst a tulé tapit tyȝt ouer þe flet,"
,,572,"Dubbed in a dublet of a dere tars,"
,,573,"And syþen a crafty capados, closed aloft,"
,,574,Þat wyth a bryȝt blaunner was bounden withinne.
,,589,Gurde wyth a bront ful sure
,,598,"Bi þat watz Gryngolet grayth, and gurde with a sadel"
,,609,"Wyth a lyȝtly vrysoun ouer þe auentayle,"
,,619,Of diamauntez a deuys
,,627,Hit is a syngne þat Salamon set sumquyle
,,629,"For hit is a figure þat haldez fyue poyntez,"
,,680,And haf dyȝt ȝonder dere a duk to haue worþed;
,,681,"A lowande leder of ledez in londe hym wel semez,"
,,706,"If þay hade herde any karp of a knyȝt grene,"
,,712,"In mony a bonk vnbene,"
,,718,"He fonde a foo hym byfore, bot ferly hit were,"
,,743,Bi a mounte on þe morne meryly he rydes
,,744,"Into a forest ful dep, þat ferly watz wylde,"
,,745,"Hiȝe hillez on vche a halue, and holtwodez vnder"
,,746,Of hore okez ful hoge a hundreth togeder;
,,755,Of a burde watz borne oure baret to quelle;
,,767,"Er he watz war in þe wod of a won in a mote,"
,,768,"Abof a launde, on a lawe, loken vnder boȝez"
,,770,"A castel þe comlokest þat euer knyȝt aȝte,"
,,771,"Pyched on a prayere, a park al aboute,"
,,772,"With a pyked palays pyned ful þik,"
,,791,Ande eft a ful huge heȝt hit haled vpon lofte
,,796,A better barbican þat burne blusched vpon neuer.
,,811,"A porter pure plesaunt,"
,,846,"And þuȝt hit a bolde burne þat þe burȝ aȝte,"
,,847,"A hoge haþel for þe nonez, and of hyghe eldee;"
,,852,To lede a lortschyp in lee of leudez ful gode.
,,853,"Þe lorde hym charred to a chambre, and chefly cumaundez"
,,854,"To delyuer hym a leude, hym loȝly to serue;"
,,856,"Þat broȝt hym to a bryȝt boure, þer beddyng watz noble,"
,,872,Þat a comloker knyȝt neuer Kryst made
,,878,"A cheyer byfore þe chemné, þer charcole brenned,"
,,881,And þenne a meré mantyle watz on þat mon cast
,,882,"Of a broun bleeaunt, enbrauded ful ryche"
,,887,"Sone watz telded vp a tabil on trestez ful fayre,"
,,888,"Clad wyth a clene cloþe þat cler quyt schewed,"
,,897,Þe freke calde hit a fest ful frely and ofte
,,924,"Þat such a gest as Gawan grauntez vus to haue,"
,,937,Into a cumly closet coyntly ho entrez.
,,960,"Þat oþer wyth a gorger watz gered ouer þe swyre,"
,,967,"A mensk lady on molde mon may hir calle,"
,,976,"Þe loueloker he lappez a lyttel in armez,"
,,986,"Hent heȝly of his hode, and on a spere henged,"
,,1000,Wele waxez in vche a won in worlde for his sake;
,,1054,"A heȝe ernde and a hasty me hade fro þo wonez,"
,,1055,"For I am sumned myselfe to sech to a place,"
,,1063,Þer watz stabled bi statut a steuen vus bytwene
,,1108,"'Ȝet firre,' quoþ þe freke, 'a forwarde we make:"
,,1136,"Ete a sop hastyly, when he hade herde masse,"
,,1145,"A hundreth of hunteres, as I haf herde telle,"
,,1162,At vche wende vnder wande wapped a flone--
,,1165,"And ay rachches in a res radly hem folȝes,"
,,1167,Wyth such a crakkande kry as klyffes haden brusten.
,,1184,"A littel dyn at his dor, and dernly vpon;"
,,1186,"A corner of þe cortyn he caȝt vp a lyttel,"
,,1196,"Þe lede lay lurked a ful longe quyle,"
,,1210,"'Ȝe ar a sleper vnslyȝe, þat mon may slyde hider;"
